,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16844,22:00:00,AUD,Judo Bank Australia Services PMI,47.9,,47.1,Tuesday,20240123,AUD16844
16845,23:30:00,AUD,MI Leading Index (MoM),0,,0.001,Tuesday,20240123,AUD16845
16850,20:30:00,AUD,CFTC AUD speculative net positions,-54.1K,,-47.9K,Friday,20240126,AUD16850
16852,0:30:00,AUD,Retail Sales (MoM) (Dec),-0.027,-0.01,0.016,Tuesday,20240130,AUD16852
16854,0:30:00,AUD,CPI (YoY) (Q4),0.041,0.043,0.054,Wednesday,20240131,AUD16854
16855,0:30:00,AUD,CPI (QoQ) (Q4),0.006,0.008,0.012,Wednesday,20240131,AUD16855
16856,0:30:00,AUD,CPI Index Number (Q4),136.1,,135.3,Wednesday,20240131,AUD16856
16857,0:30:00,AUD,Housing Credit (Dec),0.004,,0.004,Wednesday,20240131,AUD16857
16858,0:30:00,AUD,Private Sector Credit (MoM) (Dec),0.004,0.004,0.004,Wednesday,20240131,AUD16858
16859,0:30:00,AUD,Trimmed Mean CPI (QoQ) (Q4),0.008,0.009,0.012,Wednesday,20240131,AUD16859
16860,0:30:00,AUD,Trimmed Mean CPI (YoY) (Q4),0.042,0.043,0.052,Wednesday,20240131,AUD16860
16861,0:30:00,AUD,Monthly CPI Indicator (YoY) (Dec),0.034,0.037,0.043,Wednesday,20240131,AUD16861
16862,0:30:00,AUD,Weighted mean CPI (QoQ) (Q4),0.009,0.01,0.013,Wednesday,20240131,AUD16862
16863,0:30:00,AUD,Weighted mean CPI (YoY) (Q4),0.044,0.045,0.052,Wednesday,20240131,AUD16863
16865,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,50.1,50.3,47.6,Wednesday,20240131,AUD16865
16866,0:30:00,AUD,Building Approvals (YoY) (Dec),-0.02,,-0.012,Thursday,20240201,AUD16866
