,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16659,15:00:00,CAD,Budget Balance (YoY) (Jun),-2.88B,,-3.89B,Friday,20240830,CAD16659
16660,15:00:00,CAD,Budget Balance (Jun),0.94B,,1.10B,Friday,20240830,CAD16660
16661,19:30:00,CAD,CFTC CAD speculative net positions,-110.0K,,-164.4K,Friday,20240830,CAD16661
16668,13:30:00,CAD,S&P Global Canada Manufacturing PMI (Aug),49.5,,47.8,Tuesday,20240903,CAD16668
16670,12:30:00,CAD,Exports (Jul),65.66B,,65.92B,Wednesday,20240904,CAD16670
16671,12:30:00,CAD,Imports (Jul),64.97B,,66.10B,Wednesday,20240904,CAD16671
16672,12:30:00,CAD,Trade Balance (Jul),0.68B,0.70B,-0.18B,Wednesday,20240904,CAD16672
16674,13:45:00,CAD,BoC Interest Rate Decision,0.0425,0.0425,0.045,Wednesday,20240904,CAD16674
16677,12:15:00,CAD,Reserve Assets Total (Aug),125.8B,,124.2B,Thursday,20240905,CAD16677
16678,12:30:00,CAD,Labor Productivity (QoQ) (Q2),-0.002,-0.001,-0.003,Thursday,20240905,CAD16678
16680,12:30:00,CAD,Avg hourly wages Permanent employee (Aug),0.049,,0.052,Friday,20240906,CAD16680
16681,12:30:00,CAD,Employment Change (Aug),22.1K,23.7K,-2.8K,Friday,20240906,CAD16681
16682,12:30:00,CAD,Full Employment Change (Aug),-43.6K,,61.6K,Friday,20240906,CAD16682
16683,12:30:00,CAD,Part Time Employment Change (Aug),65.7K,,-64.4K,Friday,20240906,CAD16683
16684,12:30:00,CAD,Participation Rate (Aug),0.651,,0.65,Friday,20240906,CAD16684
16685,12:30:00,CAD,Unemployment Rate (Aug),0.066,0.065,0.064,Friday,20240906,CAD16685
16686,14:00:00,CAD,Ivey PMI n.s.a (Aug),50.3,,55.3,Friday,20240906,CAD16686
16687,14:00:00,CAD,Ivey PMI (Aug),48.2,55.3,57.6,Friday,20240906,CAD16687
16688,19:30:00,CAD,CFTC CAD speculative net positions,-68.5K,,-110.0K,Friday,20240906,CAD16688
16692,15:00:00,CAD,Thomson Reuters IPSOS PCSI (MoM) (Sep),49.48,,50.06,Wednesday,20240911,CAD16692
16694,12:30:00,CAD,Building Permits (MoM) (Jul),0.221,0.065,-0.13,Thursday,20240912,CAD16694
16696,12:30:00,CAD,Capacity Utilization Rate (Q2),0.791,0.788,0.786,Friday,20240913,CAD16696
16697,12:30:00,CAD,Wholesale Sales (MoM) (Jul),0.004,-0.011,-0.006,Friday,20240913,CAD16697
16698,19:30:00,CAD,CFTC CAD speculative net positions,-69.0K,,-68.5K,Friday,20240913,CAD16698
16700,12:30:00,CAD,Manufacturing Sales (MoM) (Jul),0.014,0.007,-0.021,Monday,20240916,CAD16700
16701,12:30:00,CAD,New Motor Vehicle Sales (MoM) (Jul),169.0K,,166.0K,Monday,20240916,CAD16701
16703,12:15:00,CAD,Housing Starts (Aug),217.4K,252.0K,279.8K,Tuesday,20240917,CAD16703
16704,12:30:00,CAD,Common CPI (YoY) (Aug),0.02,0.022,0.022,Tuesday,20240917,CAD16704
16705,12:30:00,CAD,Core CPI (YoY) (Aug),0.015,,0.017,Tuesday,20240917,CAD16705
16706,12:30:00,CAD,Core CPI (MoM) (Aug),-0.001,,0.003,Tuesday,20240917,CAD16706
16707,12:30:00,CAD,CPI (MoM) (Aug),-0.002,0,0.004,Tuesday,20240917,CAD16707
16708,12:30:00,CAD,CPI (YoY) (Aug),0.02,,0.025,Tuesday,20240917,CAD16708
16709,12:30:00,CAD,Median CPI (YoY) (Aug),0.023,0.022,0.024,Tuesday,20240917,CAD16709
16710,12:30:00,CAD,Trimmed CPI (YoY) (Aug),0.024,0.025,0.027,Tuesday,20240917,CAD16710
16713,12:30:00,CAD,Foreign Securities Purchases (Jul),10.98B,,5.20B,Wednesday,20240918,CAD16713
